year,movie,movie_genre,category,oscar_result
1959,Separate Tables, Drama: Romance,Best Picture,0
1958,The Bridge on the River Kwai, Adventure: Drama: War,Best Picture,1
1958,Peyton Place, Drama: Romance,Best Picture,0
1958,Sayonara, Drama: Romance,Best Picture,0
1958,12 Angry Men, Crime: Drama,Best Picture,0
1958,Witness for the Prosecution, Crime: Drama: Mystery: Thriller,Best Picture,0
1957,Around the World in Eighty Days, Adventure: Comedy: Family: Romance,Best Picture,1
1957,Friendly Persuasion, Drama: Romance: War: Western,Best Picture,0
1957,Giant, Drama: Western,Best Picture,0
1957,The King and I, Biography: Drama: Musical: Romance,Best Picture,0
1957,The Ten Commandments, Adventure: Drama,Best Picture,0
1956,Marty, Drama: Romance,Best Picture,1
1956,Love Is a Many-Splendored Thing, Biography: Drama: Romance: War,Best Picture,0
1956,Mister Roberts, Comedy: Drama: War,Best Picture,0
1956,Picnic, Drama: Romance,Best Picture,0
1956,The Rose Tattoo, Comedy: Drama: Romance,Best Picture,0
1955,On the Waterfront, Crime: Drama: Thriller,Best Picture,1
1955,The Caine Mutiny, Drama: War,Best Picture,0
1955,The Country Girl, Drama: Music,Best Picture,0
1955,Seven Brides for Seven Brothers, Comedy: Drama: Musical: Romance: Western,Best Picture,0
1955,Three Coins in the Fountain, Drama,Best Picture,0
1954,From Here to Eternity, Drama: Romance: War,Best Picture,1
1954,Julius Caesar, Biography: Drama: History,Best Picture,0
1954,The Robe, Drama: History,Best Picture,0
1954,Roman Holiday, Comedy: Romance,Best Picture,0
1954,Shane, Drama: Western,Best Picture,0
1953,The Greatest Show on Earth, Drama: Family: Romance,Best Picture,1
1953,High Noon, Drama: Thriller: Western,Best Picture,0
1953,Ivanhoe, Adventure: Drama: History: Romance,Best Picture,0
1953,Moulin Rouge, Biography: Drama: Music: Romance,Best Picture,0
1953,The Quiet Man, Comedy: Drama: Romance,Best Picture,0
1952,An American in Paris, Drama: Musical: Romance,Best Picture,1
1952,Decision Before Dawn, Drama: War,Best Picture,0
1952,A Place in the Sun, Drama: Romance,Best Picture,0
1952,Quo Vadis, Biography: Drama: History: Romance,Best Picture,0
1952,A Streetcar Named Desire, Drama,Best Picture,0
1951,All About Eve, Drama,Best Picture,1
1951,Born Yesterday, Comedy: Drama: Romance,Best Picture,0
1951,Father of the Bride, Comedy: Romance,Best Picture,0
1951,King Solomon's Mines, Adventure: Romance: Action,Best Picture,0
1951,Sunset Blvd., Drama: Film-Noir,Best Picture,0
1950,All the King's Men, Drama: Film-Noir,Best Picture,1
1950,Battleground, Action: War: Drama,Best Picture,0
1950,The Heiress, Drama: Romance,Best Picture,0
1950,A Letter to Three Wives, Drama: Romance,Best Picture,0
1950,Twelve O'Clock High, Drama: War,Best Picture,0
1949,Hamlet, Drama,Best Picture,1
1949,Johnny Belinda, Drama,Best Picture,0
1949,The Red Shoes, Drama: Music: Musical: Romance,Best Picture,0
1949,The Snake Pit, Drama: Mystery,Best Picture,0
1949,The Treasure of the Sierra Madre, Adventure: Drama: Western,Best Picture,0
1948,Gentleman's Agreement, Drama: Romance,Best Picture,1
1948,The Bishop's Wife, Comedy: Drama: Fantasy: Romance,Best Picture,0
1948,Crossfire, Crime: Drama: Film-Noir: Mystery,Best Picture,0
1948,Great Expectations, Adventure: Drama: Mystery: Romance,Best Picture,0
1948,Miracle on 34th Street, Comedy: Crime: Drama: Family,Best Picture,0
1947,The Best Years of Our Lives, Drama: Romance: War,Best Picture,1
1947,Henry V, Biography: Drama: History: War,Best Picture,0
1947,It's a Wonderful Life, Drama: Family: Fantasy,Best Picture,0
1947,The Razor's Edge, Drama: Film-Noir: Romance,Best Picture,0
1947,The Yearling, Drama: Family,Best Picture,0
1946,The Lost Weekend, Drama: Film-Noir,Best Picture,1
1946,Anchors Aweigh, Comedy: Fantasy: Musical: Romance: War,Best Picture,0
1946,The Bells of St. Mary's, Drama,Best Picture,0
1946,Mildred Pierce, Crime: Drama: Film-Noir: Mystery: Romance,Best Picture,0
1946,Spellbound, Film-Noir: Mystery: Romance: Thriller,Best Picture,0
1945,Going My Way, Comedy: Drama: Music: Musical,Best Picture,1
1945,Double Indemnity, Crime: Drama: Film-Noir: Mystery: Thriller,Best Picture,0
1945,Gaslight, Crime: Drama: Film-Noir: Mystery: Thriller,Best Picture,0
1945,Since You Went Away, Drama: Romance: War,Best Picture,0
1945,Wilson, Biography: Drama: History: Music: Romance,Best Picture,0
1944,Casablanca, Drama: Romance: War,Best Picture,1
1944,For Whom the Bell Tolls, Adventure: Drama: History: Romance: War,Best Picture,0
1944,Heaven Can Wait, Comedy: Drama: Fantasy: Romance,Best Picture,0
1944,The Human Comedy, Comedy: Drama: Family,Best Picture,0
1944,In Which We Serve, Drama: War,Best Picture,0
1944,Madame Curie, Biography: Drama: Romance,Best Picture,0
1944,The More the Merrier, Comedy: Romance: War,Best Picture,0
1944,The Ox-Bow Incident, Drama: Western,Best Picture,0
1944,The Song of Bernadette, Biography: Drama,Best Picture,0
1944,Watch on the Rhine, Drama,Best Picture,0
1943,Mrs. Miniver, Drama: Romance: War,Best Picture,1
1943,49th Parallel, Drama: War: Thriller,Best Picture,0
1943,Kings Row, Drama: Mystery: Romance,Best Picture,0
1943,The Magnificent Ambersons, Drama: Romance,Best Picture,0
1943,The Pied Piper, Drama,Best Picture,0
1943,The Pride of the Yankees, Biography: Drama: Romance: Sport,Best Picture,0
1943,Random Harvest, Drama: Romance,Best Picture,0
1943,The Talk of the Town, Comedy: Drama: Romance: Thriller,Best Picture,0
1943,Wake Island, Action: Drama: War,Best Picture,0
1943,Yankee Doodle Dandy, Biography: Drama: Musical,Best Picture,0
1942,How Green Was My Valley, Drama: Family,Best Picture,1
1942,Blossoms in the Dust, Biography: Drama: Romance,Best Picture,0
1942,Citizen Kane, Drama: Mystery,Best Picture,0
1942,Here Comes Mr. Jordan, Fantasy: Comedy: Romance,Best Picture,0
1942,Hold Back the Dawn, Drama: Romance,Best Picture,0
1942,The Little Foxes, Drama: Romance,Best Picture,0
1942,The Maltese Falcon, Crime: Film-Noir: Mystery,Best Picture,0
1942,One Foot in Heaven, Biography: Drama,Best Picture,0
1942,Sergeant York, Biography: Drama: History: Romance: War,Best Picture,0
1942,Suspicion, Mystery: Thriller,Best Picture,0
1941,Rebecca, Drama: Mystery: Romance: Thriller,Best Picture,1
1941,All This and Heaven Too, Drama: Romance,Best Picture,0
1941,Foreign Correspondent, Action: Romance: Thriller: War,Best Picture,0
1941,The Grapes of Wrath, Drama: History,Best Picture,0
1941,The Great Dictator, Comedy: Drama: War,Best Picture,0
1941,Kitty Foyle, Drama: Romance,Best Picture,0
1941,The Letter, Crime: Drama: Film-Noir: Mystery: Romance,Best Picture,0
1941,The Long Voyage Home, Drama: War,Best Picture,0
1941,Our Town, Drama: Romance,Best Picture,0
